Date;Pre-Prod No.;Product Code;Category;New Mould/ Client or Product;Status;Project Description;Client;Sales Rep;Unit Order No;Order Qty x1000;Product Material Colour (tube,jar etc.);Length;Material;Orifice;Diameter;Tube Shoulder colour;Cap/Lid Colour;Cap/Lid Diameter;Cap/Lid style;Cap/Lid Material;Other Cap/Lid info; Dust Controlled Area;Artwork required;Artwork Received;Ordered Plates;Plates Arrived;Sent on Trial;Trial approved;Machine;Comments;Weeks Taken (or parts thereof);Open or closed;Completion date;Project Age (Days taken Open Projects);Age Category;Project Age (Open and Closed);Proof Approved (Conventional);Proof Approved (Digital);Masterbatch requested;Masterbatch received;Injection trial requested;Injection trial received;Blowmould trial requested;Blowmould trial received;Extrusion requested;Extrusiuon received;Digital trial sent;Digital trial received (actual dates have replaced crosses for latest trials);Year;Month;Month Name
2018-10-10;14141;C40LTHNS004F;Digital Laminate;;Order (a/w);Baby Bum Lotion 100ml;Honeysuckle;Rob;148076/0;2,5;White;120;PBL;4;40;White;White;15/38;A;PP;Foil Seal;;X;1900-01-00;-;-;;;DIGITAL ;;-36;Closed;2018-02-01;;;;;;;;;;;;;;;;;;
2018-10-11;14142;;Bottle;;No order;Big Ball R/O Bottle Para - Silver;Indigo Cosmetics;Wayne;;;Silver (BMSIL011);;HDPE;;;;;;;;;;;1900-01-00;-;-;;;BLOWMOULD;;70;Closed;2020-02-12;;;;;;;;;;;;;;;;;;,
2018-10-11;14143;;Cap;;No order;Big Ball R/O Cap  Flat - Silver;Indigo Cosmetics;Wayne;;;;;;;;;Silver ( BMSIL011);;;PP;;;;1900-01-00;-;-;;;INJECTION;;70;Closed;2020-02-12;;;;;;;;;;;;;;;;;;,
2018-10-11;14144;C0060STD004W;PET;;Order;60ml Oval Standard 8gram;Bowler PET;Mark K;146904/4;;Natural;;RPET;;;;;;;;;;;1900-01-00;-;-;;;;;22;Closed;2019-03-13;;;;;;;;;;;;;;;;;;,
2018-10-11;14145;CCAPSTRI000F;Cap;;Order;Tripharm Venus Cap - Green;Tripharm Man;Linda;147629/0;20;;;;;;;Green (BMGRN003);;;PP;;;;1900-01-00;-;-;;;INJECTION;;47;Closed;2019-09-03;;;;;;;;;;;;;;;;;;,
2018-10-11;14146;J0750CHE085F;Bottle;;Order (a/w);Thick Bleach Bottle W/W 750ml - Lemon - Labelled;Chet Chemicals;Linda;147347/8;5,7;Yellow;;HDPE;;;;;;;;;;X;1900-01-00;-;-;;;BLOWMOULD;;41;Closed;2019-07-23;;;;;;;;;;;;;;;;;;
2018-10-11;14147;C50TBJUS209F;Tube and Cap;;Order (a/w);Tissue Oil Treatment Hair Mask 200ml;Justine;Linda;155658/3;5,1;Pearl White;160;COEX;10;50;Natural;Pearl White;48;F/T B/O;PP;FuJi Sleeve+2mm Sil Foil band;;X;2018-10-10;2018-10-22;2018-10-25;;;HK;;51;Closed;2019-10-01;;;;;;;;;;;;;;;;;;
2018-10-11;14148;C35LTZET006F;Digital Laminate;;Order (a/w);U Derm Urea Cream 50grm;PD Pharma;Wayne;147646/0;2,5;White;115;ABL White;6;35;White;Mustard (BMYEL044);35;A;PP;Foil Seal;;X;1900-01-00;-;-;;;DIGITAL ;;4;Closed;2018-11-06;;;;;;;;;;;;;;;;;;
2018-10-11;14149;;Bottle;;No order;Puer 250ml -Silver 877c;Botle Buhle;Karen;;;Silver;;HDPE;;;;;;;;;;;1900-01-00;-;-;;;BLOWMOULD;;21;Closed;2019-03-01;;;;;;;;;;;;;;;;;;,
2018-10-11;14150;;Bottle;;No order;Puer 250ml - Champagne 8003c;Botle Buhle;Karen;;;8003;;HDPE;;;;;;;;;;;1900-01-00;-;-;;;BLOWMOULD;;21;Closed;2019-03-01;;;;;;;;;;;;;;;;;;,
