Pre-Prod No.;Client;Description;Date Sent on Proof;Proof Approved (Digital);Size of Eyemark;Artwork Received;Revised Artwork After Trialling;comments;
15814;CT Toiletry Co;Bath delights Fragrance Free 25ml;05.06.20;12.06.2020;8X3;04.06.2020;;;
15815;CT Toiletry Co;Bath Delights Fruity Sweets 25ml;05.06.20;12.06.2020;8X3;04.06.2020;;;
15816;CT Toiletry Co;Bath Delights Marine Fresh 25ml;05.06.20;12.06.2020;8X3;04.06.2020;;;
15817;CT Toiletry Co;Bath Delights Zesty Citrus 25ml;05.06.20;12.06.2020;8X3;04.06.2020;;;
15822;Canway;Iwori Marula Leave In Conditioner 25ml;18.06.20;19.06.2020;8X2;01.06.2020;;;
15823;Rolfe Lab.;Puer  Harmony Camphor Hand Cream 100ml;18.06.20;19.06.2020;8X3;12.06.2020;;;
15838;Sibhale Skin Solutions;Marula Skin Oil Face Wash for Men 150ml;24.06.20;08.07.2020;8X3;19.06.2020;;;
15840;Cape Kingdom;Feline First Aid Gel 50ml;24.06.20;25.06.2020;8X3;15.06.2020;;;
15846;Cre'me Classique;Alpha Day/Night Moisturiser 100ml;24.06.20;25.06.2020;8X3;24.06.2020;;;
15847;Cre'me Classique;Heel Balm with Urea 100ml;24.06.20;25.06.2020;8X3;24.06.2020;;;
15851;Saradox;GS RnR Rooibos & Moroccan Argan Oil Hand Cream 75ml;25.06.20;29.06.2020;8X3;22.06.2020;;;
15861;DNA Biopharm;Xerio Cream 100ml;01.07.20;02.07.2020;8X3;30.06.2020;;;
15859;Aloe Ferox;Aloe Ferox Rejuvenating Essence 50ml;02.07.20;03.07.2020;8X3;29.06.2020;;;
15862;Botle Buhle;Puer Harmony Vanilla Hand Cream 60ml;03.07.20;27.07.2020;8X3;29.06.2020;;;
15863;Botle Buhle;Puer Harmony Jasmine Hand Cream 60ml;03.07.20;27.07.2020;8X3;29.06.2020;;;
15864;Botle Buhle;Puer Harmony Lemongrass Hand Cream 60ml;03.07.20;27.07.2020;8X3;29.06.2020;;;
15865;Edelweiss;Lash Lounge Brow Cleanser 50ml;07.07.20;08.07.2020;8X3;07.07.2020;07.07.2020;Customer revised artwork after trial was done.;
15878;Catwalk;Gifts From Nature Coconut and Vanilla Hand Cream 100ml;07.07.20;09.07.2020;8X3;07.07.2020;;;
15879;Catwalk;Gifts From Nature Argan Hand and Cream 100ml;07.07.20;09.07.2020;8X3;07.07.2020;;;
15880;Canway;Source Creamy Orchid and Warm Vanilla Body Wash 140ml;07.07.20;13.07.2020;8X3;03.07.2020;;;
15881;Canway;Source Creamy Orchid and Warm Vanilla Hand Cream 75ml;07.07.20;10.07.2020;8X3;03.07.2020;;;
15850;Saradox;GS In Good Hands Lemongrass Rooibos and Ginger Hand Cream 75ml;08.07.20;08.07.2020;8X3;08.07.2020;08.07.2020;Customer revised artwork after trial was done.;
15564;Afriplex;Rethink CBD Hand Cream 50ml;10.07.20;13.07.2020;8X3;23.06.2020;;;
15565;Afriplex;Rethink CBD Pain Relief Cream 100ml;10.07.20;13.07.2020;8X3;23.06.2020;;;
15895;Down To Earth;Refresh Moisturiser Day and Night 60ml;14.04.21;15.04.2021;8X3;;14.04.2021;cusotemer requested that some elements be removed.;
15896;Down To Earth;Revive Moisturiser Day and Night 60ml;10.07.20;14.07.2020;8X3;09.07.2020;;;
15902;Avroy Shlain;Avroy Pure Mint Oil Rough Skin Remover 125ml;14.07.20;06.08.2020;8X3;29.06.2020;;;
15903;Avroy Shlain;Glycerine & Lemon 100ml;14.07.20;27.07.2020;8X3;29.06.2020;;;
15905;Shanker Brands;Tissue Oil Face Cream Oily Combination Skin 75ml;24.07.20;27.07.2020;8X3;06.07.2020;;;
15906;Shanker Brands;Tissue Oil Face Cream Dry/Sensitive Skin 75ml;24.07.20;27.07.2020;8X3;06.07.2020;;;
15908;Shanker Brands;Tissue Oil Face Wash Dry Skin 125ml;24.07.20;27.07.2020;8X3;06.07.2020;;;
15910;Shanker Brands;Tissue Oil Face Wash Oily Skin 125ml;24.07.20;27.07.2020;8X3;06.07.2020;;;
15917;Sanria 26;Eezypro Sunscreen SPF50 100ml;24.07.20;28.07.2020;8X3;16.07.2020;;;
15918;Sanria 26;Eezypro Sunscreen For Babies SPF50 100ml;24.07.20;28.07.2020;8X3;16.07.2020;;;
15919;Sanria 26;Eezypro Facial Cream 100ml;24.07.20;28.07.2020;8X3;16.07.2020;;;
15949;Aloe Ferox;Aloe Ferox Wrinkle Less Cream 50ml;29.07.20;03.08.2020;8X3;28.07.2020;;;
15950;Aloe Ferox;Aloe Ferox Ultra Rich Night Cream 50ml;29.07.20;03.08.2020;8X3;28.07.2020;;;
15937;Formulage;Formulage Night Cream 100ml;25.08.20;27.08.2020;8X3;25.08.2020;25.08.2020;customer requested adjutments to the red and the hexagons;
15938;Formulage;Formulage Day Cream SPF 30 150ml;25.08.20;27.08.2020;8X3;25.08.2020;25.08.2020;customer requested adjutments to the red and the hexagons;
15939;Formulage;Formula Natural Acne Prevention Night Cream 150ml;25.08.20;27.08.2020;8X3;25.08.2020;25.08.2020;customer requested adjutments to the red and the hexagons;
15940;Formulage;Formula Natural Acne Prevention Day Cream SPF30 150ml;25.08.20;27.08.2020;8X3;25.08.2020;25.08.2020;customer requested adjutments to the red and the hexagons;
15942;Formulage;Formulage Scar Cream 50ml;25.08.20;27.08.2020;8X3;25.08.2020;25.08.2020;customer requested adjutments to the red and the hexagons;
15605;Edelweiss;Jaminah Night Cream SPF30 75ml;03.08.20;04.08.2020;8X3;03.08.2020;03.08.2020;customer adjusted artwork after trialling. Due to foil trial not being a success we had to adjust the print trial.;
15797;Sibhale Skin Solutions;Pomegranate Men Face Wash 150ml;03.08.20;03.08.2020;8X3;03.08.2020;03.08.2020;retrial. Customer adjusted the ingredients so need a 2nd retrial;
15897;Down To Earth;Clear Skin Gel 100ml;06.08.20;06.08.2020;8X3;06.08.2020;06.08.2020;customer wanted adjusted to fitoriginal artwork they sent;
15966;Festo Africa;Festo Anti Aging Misturising Cream 125ml;06.08.20;12.08.2020;8X3;31.07.2020;;;
15964;Zeta Laboratories;Sanamed Ultra Hygene Moisturing Hand Sanitiser Cream 75ml;07.08.20;17.08.2020;8X3;07.08.2020;;;
13417;Lee-Chem;Pure Milk Honey and Vitamin E Hand Cream 100ml;29.01.18;29.01.2018;8X3;;;1st off proof doen and trialled, customer are sending revised artwork.;
15967;HLS INDUSTRIES;Colours Autumn Dream Hand and Nail Lotion 50ml;26.08.20;27.08.2020;8X3;09.09.2020;;customer adjusted artwork after 1st off trials;
15968;HLS INDUSTRIES;Colours Blushing Lace  Hand and Nail Lotion 50ml;11.09.20;11.09.2020;8X3;25.08.2020;26.08.2020;customer adjusted artwork after 1st off trials;
15969;HLS INDUSTRIES;Colours Cashmere Garden Hand and Nail Lotion 50ml;26.08.20;27.08.2020;8X3;25.08.2020;26.08.2020;customer adjusted artwork after 1st off trials;
15970;HLS INDUSTRIES;Colours Summer Escape Hand and Nail Lotion 50ml;11.09.20;11.09.2020;8X3;09.09.2020;;customer adjusted artwork after 1st off trials. Customer decided to go with colour of 1st trial but artwork of 2nd trial;
15972;ZA Natural Care;Aloe Pramie Gel 75ml;11.08.20;08.12.2020;8X3;05.08.2020;;;
15955;Charisma Candles;Poetry Last Night Hand Cream 100ml;13.08.20;14.08.2020;8X3;30.07.2020;;;
15956;Charisma Candles;Poetry Hidden Valley Hand Cream 100m;13.08.20;14.08.2020;8X3;30.07.2020;;;
15571;Drifts Brands;Drift Cockroach Killer Ultra 50ml;17.08.20;20.08.2020;8X3;17.08.2020;17.08.2020;customer requested some changes after trial was sent;
15907;Shanker Brands;Tissue Oil Face Wash Men 125ml;17.08.20;18.08.2020;8X3;06.07.2020;17.08.2020;customer requested that background pattern be adjsuted to be more visible;
15909;Shanker Brands;Tissue Oil Face Cream Men 75ml;17.08.20;18.08.2020;8X3;17.08.2020;17.08.2020;customer requested that background pattern be adjsuted to be more visible;
15941;Formulage;Formulage Micropeel 150ml;25.08.20;27.08.2020;8X3;25.08.2020;25.08.2020;Customer requested that back logo be moved up to be inline with the rest of the range.;
15977;Royal Secrets;Royal Secrets Sugar Scrub 10ml;19.08.20;21.08.2020;8X3;11.08.2020;;;
15979;Aloe Ferox;Aloe Ferox Universal FP 15ml;19.08.20;25.08.2020;8X3;12.08.2020;;;
15488;Dipidax;Mr Bains Kids Polar Berry 50ml ;30.06.21;08.07.2021;8X3;30.06.2021;30.06.2021;customer adjusted artwork after trialling. Customer came back with more changes 30/6/21;
15489;Dipidax;Mr Bains Toothpaste 75ml;30.06.21;08.07.2021;8X3;30.06.2021;30.06.2021;customer adjusted artwork after trialling. Customer came back with more changes 30/6/21;
15870;Lycoderm;KP Cream 100ml;24.08.20;07.09.2020;8X3;;24.08.2020;Fritz asked for the second eye mark to be adjusted;
12988;Prime Products;Adcock Derma Hydrate Foot Cream 75g;27.07.17;cancelled;8X3;;;1st proof send on the 27/7, customer revised artwork;
15982;Bio Earth Man.;Le Lube 69ml;24.08.20;25.08.2020;8X3;20.08.2020;;;
16006;Royal Secrets;Royal Sectrets Face Mask 100ml;25.08.20;26.08.2020;8X3;17.08.2020;;;
16003;Num 6;Actif Hygiene Gel 125ml;17.09.20;18.09.2020;8X3;16.09.2020;17.09.2020;Customer revised address after trial was done.;
16004;Num 6;Actif Muscle Gel 125ml;17.09.20;18.09.2020;8X3;16.09.2020;17.09.2020;Customer revised address after trial was done.;
16005;Num 6;Actif Sunscreen & Aftercare SPF15 125ml;17.09.20;18.09.2020;8X3;16.09.2020;17.09.2020;Customer revised address after trial was done.;
16009;Num 6;Actif Moisturising Cream 75ml;17.09.20;18.09.2020;8X3;16.09.2020;17.09.2020;Customer revised address after trial was done.;
16010;Formulage;Formulage Secret Of Smooth No.2 Aftercare 100ml;27.08.20;27.08.2020;8X3;19.08.2020;;;
16011;Formulage;Formulage Secret Of Smooth No.1Hair Removal 100ml;27.08.20;27.08.2020;8X3;19.08.2020;;;
16012;Avroy Shlain;Avroy Pure Mint Oil Moisturising Foot Lotion 125ml;27.08.20;27.08.2020;8X3;27.07.2020;;;
16019;Saradox;Good Stuff Spa Coconut Cre'me &Shea Butter HandCream 60ml;27.08.20;28.08.2020;8X3;20.07.2020;;;
16020;HLS INDUSTRIES;Truth Tissue Oil Skin Brightening Cream 50ml;03.09.20;08.09.2020;8X3;21.07.2020;;;
16021;HLS INDUSTRIES;Truth Tissue Oil Hand and Nail Lotion 75ml;03.09.20;08.09.2020;8X3;21.07.2020;;;
16029;Aloe Ferox;Aloe Ferox Nail And Cuticle 15ml;03.09.20;04.09.2020;8X3;21.08.2020;;;
16030;Aloe Ferox;Aloe Ferox Cleansing Cream 50ml;03.09.20;04.09.2020;8X3;21.08.2020;;;
16038;Aloe Ferox;Aloe Ferrox Classic Vanishing Cream 50ml;04.09.20;07.09.2020;8X3;04.09.2020;;;
16039;Aloe Ferox;Aloe Ferrox Hand and Body Lotion 150ml;04.09.20;07.09.2020;8X3;04.09.2020;;;
16040;Aloe Ferox;Aloe Ferrox Moisturiser 150ml;04.09.20;07.09.2020;8X3;04.09.2020;;;
16041;Aloe Ferox;Aloe Ferox Universal 50ml;04.09.20;07.09.2020;8X3;04.09.2020;;;
16042;Aloe Ferox;Aloe Ferox Moisturising Day Cream 50ml;04.09.20;07.09.2020;8X3;04.09.2020;;;
16043;Aloe Ferox;Aloe Ferrox Classic Sun Care Lotion 75ml;04.09.20;07.09.2020;8X3;04.09.2020;;;
16044;Aloe Ferox;Aloe Ferrox X Balm 50ml;04.09.20;07.09.2020;8X3;04.09.2020;;;
16054;Zeta Laboratories;Moisturizing Hand Sanitizer Cream 50ml;04.09.20;10.09.2020;8X3;19.08.2020;;;
16049;Fulvimed;Secuvie Daily Repair Face Cream 50ml;08.09.20;30.09.2020;8X3;27.08.2020;;;
16050;Fulvimed;Secuvie Reczema 50ml;08.09.20;30.09.2020;8X3;27.08.2020;;;
16051;Fulvimed;Secuvie Aftersun Repair Cream 100ml;08.09.20;30.09.2020;8X3;27.08.2020;;;
16062;Formulage;Formulage Perfect Skintone SPF20  150ml;09.09.20;09.09.2020;8X3;08.09.2020;;;
16069;Fulvimed;Fulviban Skin & Wound Care Gel 25g;09.09.20;14.09.2020;8X3;04.09.2020;;;
16070;Fulvimed;Fulvirex Athletes Foot & Antifungal Cream 25g;09.09.20;14.09.2020;8X3;04.09.2020;;;
16068;Oske Wellness;Comfit 15ml;14.09.20;14.09.2020;8X3;09.09.2020;;;
16066;Bio Earth Man.;Bambino Protective  Daily Bum cream 100ml;16.10.20;20.10.2020;8X3;16.10.2020;16.10.2020;Customer asked that barcode be added to the back of the tube and not front asp er artwork supplied;
16075;Rain Africa;Skincare Exfoliator 50ml;16.09.20;17.09.2020;8X3;16.09.2020;;;
16102;Spider Monkey;Spider Monkey Liquid Chalk 150ml;17.09.20;cancelled;8X3;04.09.2020;;;
16103;Sibhale Skin Solutions;Pomegranate Face Wash 150ml;18.09.20;21.09.2020;8X3;15.09.2020;;;
16056;Catwalk;Gifts From Nature Argan Hand Cream 100ml;21.09.20;22.09.2020;8X3;18.09.2020;;;
16057;Catwalk;Gifts From Nature Coconut and Vanilla Hand Cream 100ml;21.09.20;22.09.2020;8X3;18.09.2020;;;
16131;Saradox;Goodstuff Hygene Hero Hand Cream 75ml;28.09.20;28.09.2020;8X3;17.09.2020;;;
16115;Royal Secrets;Anti Aging Day Cream 50ml;28.09.20;29.09.2020;8X3;14.09.2020;;;
15959;Canway;Peaches and Cream 45ml;30.09.20;30.09.2020;8X3;21.09.2020;;;
15960;Canway;Moonlight Flora 45ml;08.10.20;09.10.2020;8X3;08.10.2020;08.10.2020;1st trial rejected due to colour, customer resend file with colour adjusted.;
16140;African Botanics;Buchu Botanical Enzyme Polishh 20ml;01.10.20;05.10.2020;8X3;22.09.2020;;;
16142;African Botanics;Hand Cream 60ml;01.10.20;05.10.2020;8X3;22.09.2020;;;
16143;African Botanics;Muscle pain Relief Recovery Gel 60ml;01.10.20;05.10.2020;8X3;22.09.2020;;;
16145;African Botanics;Firming Body Serum 150ml;01.10.20;05.10.2020;8X3;22.09.2020;;;
16146;African Botanics;Boabab Clay Oxygenating Cleanser 20ml;01.10.20;05.10.2020;8X3;22.09.2020;;;
16109;Fever Tree;Fever Tree 100ml;05.10.20;06.10.2020;8X3;02.10.2020;;;
16153;Creighton Prod.;Everyday Awake Sanitiser Energising Citrus Blossom 50ml;08.10.20;13.10.2020;8X3;28.09.2020;;;
16154;Creighton Prod.;Everyday Calm Sanitiser Rich Creamy Oat Milk 50ml;08.10.20;13.10.2020;8X3;28.09.2020;;;
16155;Creighton Prod.;Everyday Dream Sanitiser Gentle Floral 50ml;08.10.20;13.10.2020;8X3;28.09.2020;;;
16156;Creighton Prod.;Everyday Energy Sanitiser Revitalising Ginger Tonic 50ml;08.10.20;13.10.2020;8X3;28.09.2020;;;
16157;Creighton Prod.;Everyday Fresh Sanitiser Invigorating Cool Mint 50ml;08.10.20;13.10.2020;8X3;28.09.2020;;;
16182;Saradox;Goodstuff TOYH Avocado Oil , Shea Butter & Provitamin B5 75ml;08.10.20;08.10.2020;8X3;06.10.2020;;;
15984;Heuningsoet;Summer Harvest Raw Honey 30ml;08.10.20;13.10.2020;8X3;08.10.2020;;;
16187;Spanjaard;Non Melt Grease 100g;10.12.20;13.10.2020;8X3;08.10.2020;;;
16124;Mintedge;Solis Care SPF50 150ml;16.10.20;19.10.2020;8X3;16.10.2020;16.10.2020;1st off trial done when customer wanted us to insert barcode;
16091;Lycoderm;Lycoderm Eye Cream 10ml;27.11.20;27.11.2020;8X3;26.11.2020;27.11.2020;Customer decided that they want foil on the artwork;
16125;Lycoderm;Post Procedure 35g;14.10.20;29.10.2020;8X3;14.09.2020;;;
16194;Formulage;ML Eye Cream SPF20 30ml;15.10.20;20.10.2020;8X3;08.10.2020;;;
16128;In2MC (Pty) Ltd;Ecstacy 25ml;16.10.20;19.10.2020;8X3;15.10.2020;;;
16129;In2MC (Pty) Ltd;Decadance 15ml;16.10.20;19.10.2020;8X3;15.10.2020;;;
16130;In2MC (Pty) Ltd;Playtime 50ml;16.10.20;19.10.2020;8X3;15.10.2020;;;
16193;Formulage;Activating Night Cream 50ml;19.10.20;20.10.2020;8X3;08.10.2020;;;
16202;Avroy Shlain;After Midnight Xmas Body Cream 100ml;20.10.20;20.10.2020;8X3;13.10.2020;;;
16192;Icon 3 Sixty;Sun Seeker Tropical Coconut Hand & Nail Cream 100ml;20.10.20;22.10.2020;8X3;09.10.2020;;;
16200;Split End Distribution;Coal toothpaste 125ml ;27.10.20;27.10.2020;8X3;26.10.2020;27.10.2020;Customer revised artwork ;
16207;Bio Earth Man.;Aloe From Africa 75ml;22.10.20;23.10.2020;8X3;19.10.2020;;;
16147;Umgalelo Products;Umgalelo Toothpaste 100ml;02.11.20;03.11.2020;8X3;02.11.2020;02.11.2020;customer found spelling mistake after trial was run;
16225;Comafrica Marketing;Crez Hand and Body Cream - Strawberry 150ml;28.10.20;02.11.2020;8X3;26.10.2020;;;
16257;Canway;Endangered Paradise 100ml;06.11.20;09.11.2020;8X3;29.10.2020;;;
16272;Cape Kingdom;Feline First Aid Gel 50ml;09.11.20;20.11.2020;8X3;04.11.2020;;;
16273;Spanjaard;Silicone Paste 100g;09.11.20;10.11.2020;8X3;02.11.2020;;;
16251;Kukua Cosmetics;Body lotion 150ml;11.11.20;11.11.2020;8X3;02.11.2020;;;
16276;Spanjaard;Silicone Paste 100g - Pure Non Drying Silicone Lubricant;12.11.20;12.11.2020;8X3;02.11.2020;;;
16277;Spanjaard;Copper Compound 100g;12.11.20;12.11.2020;8X3;02.11.2020;;;
16292;Bio Earth Man.;Aloe From Africa Skin Buddy SPF50 75ml;12.11.20;13.11.2020;8X3;11.11.2020;;0;
16302;Nature Fresh;Deo Buster 75ml;16.11.20;18.11.2020;8X3;20.06.2017;;;
16258;CT Toiletry Co;Bath Delights Fruity Sweet Foam Bath 50ml;17.11.20;17.11.2020;8X3;01.10.2020;;;
16259;CT Toiletry Co;Bath Delights Fruity Sweet Body Butter 50ml;17.11.20;17.11.2020;8X3;01.10.2020;;;
16260;CT Toiletry Co;Bath Delights Fruity Sweet Body Wash 50ml;17.11.20;17.11.2020;8X3;01.10.2020;;;
16261;CT Toiletry Co;Bath Delights Fruity Sweet Hand Sanitiser 50ml;17.11.20;17.11.2020;8X3;01.10.2020;;;
16262;CT Toiletry Co;Bath Delight Marine Fresh Body Butter 50ml;17.11.20;17.11.2020;8X3;01.10.2020;;;
16263;CT Toiletry Co;Bath Delight Marine Fresh Body Wash 50ml;17.11.20;17.11.2020;8X3;01.10.2020;;;
16264;CT Toiletry Co;Bath Delight Marine Fresh Foam Bath 50ml;17.11.20;17.11.2020;8X3;01.10.2020;;;
16265;CT Toiletry Co;Bath Delight Marine Fresh Hand Sanitiser 50ml;17.11.20;17.11.2020;8X3;01.10.2020;;;
16312;Lee-Chem;Pure Aloe Vera & Vitamin E Hand Cream 100ml;19.11.20;07.12.2020;8X3;18.11.2020;;;
16313;Lee-Chem;Pure Milk Honey & Vitamin E Hand Cream 100ml;19.11.20;19.11.2020;8X3;18.11.2020;;;
16319;Rush Fragrances;Rush Hand and Body Lotion 175ml;23.11.20;25.11.2020;8X3;20.11.2020;;;
16338;Icon 3 Sixty;Unity Hand & Nail Cream 100ml;27.11.20;27.11.2020;8X3;09.10.2020;;;
16321;CT Toiletry Co;LM Vanilla, Orchid & Honeycomb 100ml;30.11.20;04.12.2020;8X3;17.11.2020;;;
16322;CT Toiletry Co;LM Rose 100ml;30.11.20;04.12.2020;8X3;17.11.2020;;;
16333;Avroy Shlain;Pure Softening Heel Cream 50ml;30.11.20;02.12.2020;8X3;24.11.2020;;;
16355;Indigo Cosmetics;Exclamation Hand Cream 75ml;09.12.20;17.02.2021;8X3;07.12.2020;;;
16356;Indigo Cosmetics;I Love Vanilla Body Lotion Xmas 2021 150ml;10.12.20;cancelled;8X3;08.12.2020;;;
16357;Indigo Cosmetics;I Love Candy Body Lotion Xmas 2021 150ml;10.12.20;cancelled;8X3;08.12.2020;;;
16369;Saradox;Goodstuff Spa Argan Oil & African Shea Butter 60ml;19.01.21;20.01.2021;8X3;11.12.2020;;;
16370;Saradox;Goodstuff Spa Crème Coconut & vitamin E 60ml;19.01.21;20.01.2021;8X3;11.12.2020;;;
16381;Canway;Endangered For Her 100ml;19.01.21;20.01.2021;8X3;17.11.2020;;;
16400;Canway;Pink Diamond 100ml;20.01.21;25.01.2021;8X3;13.01.2021;;;
16398;Pharma Q;Norflex gel 3% 75g;20.01.21;21.01.2021;8X3;18.01.2021;;;
16399;Pharma Q;Norflex Gel 3%30g;20.01.21;21.01.2021;8X3;18.01.2021;;;
16418;Catwalk;Magnolia Hand & Nail Cream 100ml;21.01.21;22.01.2021;8X3;20.01.2021;;;
16414;CW Pharmaceuticals;Acne Solutions Clear Skin Mattifying Hydrator 40ml;22.01.21;29.01.2021;8X3;20.11.2021;;;
16367;Sevenpointfive;Promax 50ml;22.01.21;25.01.2021;8X3;22.01.2021;;;
16401;Aloe Ferox;Aloe Ferox H & B Lotion 75ml;15.02.21;15.02.2021;8X3;11.02.2021;15.02.2021;;
16402;Aloe Ferox;Aloe Ferox Moisturizing Mask 50ml;22.01.21;27.01.2021;8X3;22.12.2020;;;
16403;Aloe Ferox;Aloe Ferox neck Cream 50ml;22.01.21;27.01.2021;8X3;22.12.2020;;;
16404;Aloe Ferox;Aloe Ferox Baby Balm 50ml;22.01.21;27.01.2021;8X3;22.12.2020;;;
16405;Aloe Ferox;Aloe Ferox Bitter Aloe Gel 100ml;22.01.21;27.01.2021;8X3;22.12.2020;;;
16406;Aloe Ferox;Aloe Ferox eye Cream 30ml;22.01.21;27.01.2021;8X3;22.12.2020;;;
16407;Aloe Ferox;Aloe ferox h & b Lotion 15ml;15.02.21;15.02.2021;8X3;11.02.2021;15.02.2021;;
16408;Aloe Ferox;Aloe Ferox Refining Scrub 50ml;22.01.21;27.01.2021;8X3;22.12.2020;;;
16428;Indigo Cosmetics;Panache Body Lotion Xmas 2021 150ml (100 samples);26.01.21;17.02.2021;8X3;14.12.2020;;;
16429;Indigo Cosmetics;Hoity Toity Lola Jour Hand Cream Xmas 2021 75ml (100 samples);26.01.21;02.03.2021;8X3;13.01.2021;;;
16060;Recreation Health;Bettamed 50g;03.02.21;02.03.2021;8X3;03.09.2021;;;
16433;Cre'me Classique;Acne Gel 50ml;19.02.21;19.02.2021;10X2;19.02.2021;19.02.2021;customer revised artwork after trialling;
16434;Cre'me Classique;Evening Mask 50ml;19.02.21;19.02.2021;10X2;19.02.2021;19.02.2021;customer revised artwork after trialling;
16458;Pharma Q;Norflex Gel 5% 75g;09.02.21;09.02.2021;8X3;03.02.2021;;;
16456;Saradox;Goodstuff Hygene Hero Hand Cream 75ml;09.02.21;10.02.2021;8X3;03.02.2021;;;
16455;Aloe Ferox;Aloe Ferox Super Aloe Gel 150ml;09.02.21;10.02.2021;8X3;09.02.2021;;;
16448;Sibhale Skin Solutions;Marula Skin Oil Face Wash For men 150ml;09.03.21;10.03.2021;8X3;09.03.2021;09.03.2021;customer adjusted artwork after trialling.;
16449;Sibhale Skin Solutions;Pomegranate Face Wash 150ml;05.03.21;09.03.2021;8X3;05.03.2021;05.03.2021;customer adjusted artwork after trialling.;
16467;Aloe Ferox;Aloe Ferox mature 50ml;11.02.21;12.02.2021;8X3;02.10.2021;;;
16463;Indigo Cosmetics;Hoity Toity Original Hand Cream Xmas 2021 75ml (100 samples);11.02.21;19.02.2021;8X3;26.01.2021;;;
16476;CAnway;JS Hand And Body Lotion 100ml;19.02.21;19.02.2021;8X3;15.02.2021;;;
16479;Matsimela Home SPA CC;Pure Asante Perfumed Hand Cream 30ml;19.02.21;22.02.2021;8X3;16.02.2021;;;
16472;Aloe Ferox;Aloe Ferox Hand  Cream 150ml;19.02.21;22.02.2021;8X3;10.02.2021;;;
16473;Aloe Ferox;Aloe Ferox heel Balm 150ml;19.02.21;22.02.2021;8X3;10.02.2021;;;
16481;Victorian Garden;Foaming Gel Face Cleanser English Lavender 100ml;24.02.21;05.03.2021;8X3;17.02.2021;;;
16482;Victorian Garden;Foaming Gel Face Cleanser Kalahari Melon & Rosemary 100ml;24.02.21;25.02.2021;8X3;17.02.2021;;;
16486;Dermasure;Eye Serum 30ml;24.02.21;01.03.2021;8X3;17.02.2021;;;
16491;Essentoils;Amala Pure Skin Care Therapeutic Cream 75ml;24.02.21;03.03.2021;8X3;23.02.2021;;;
16453;Kool a Chem;Reef Safe SPF50 50ml;18.03.21;24.03.2021;8X3;18.03.2021;18.03.2021;Customer made changes after trial run. New trial needed.;
16454;Kool a Chem;Reef Safe SPF50 150ml;25.02.21;09.03.2021;8X3;21.01.2021;;;
16494;Charisma Candles;Field Notes Hand Cream 100ml;25.02.21;25.02.2021;8X3;22.02.2021;;;
16495;Charisma Candles;Field Notes Sanitiser 100ml;25.02.21;25.02.2021;8X3;22.02.2021;;;
16496;Charisma Candles;Midnight Botany Sanitiser 100ml;25.02.21;25.02.2021;8X3;22.02.2021;;;
16497;Charisma Candles;Midnight Botany hand Cream 100ml;25.02.21;25.02.2021;8X3;22.02.2021;;;
16507;#N/A;#N/A;25.02.21;02.03.2021;8X3;23.02.2021;;;
16492;PD Pharma;PD Pharm Pain Relief Gel 30g;02.03.21;04.03.2021;8X3;02.03.2021;;;
16522;Lee-Chem;Ingrow Zero for Ingrown Hair 100ml;05.03.21;08.03.2021;8X3;05.03.2021;;;
16531;HLS Industries;Perfect Scent Blanco Bodyy Lotion 50ml;08.03.21;09.03.2021;8X3;03.03.2021;;;
16532;HLS Industries;Perfect Scent Saint Body Lotion 50ml;08.03.21;09.03.2021;8X3;03.03.2021;;;
16523;Heal Spa;Healing Hand Cream 150ml;19.03.21;24.03.2021;8X3;19.03.2021;19.03.2021;Customer made changes after trial run. New trial needed.;
16534;Indigo Cosmetics;Hoity Toity Lola Kiss & Tell Body Lotion 150ml (100 samples);08.03.21;15.03.2021;8X3;01.03.2021;;;
16535;Indigo Cosmetics;Hoity Toity Lola Oh my Sugar Body Lotion 150ml (100 samples);08.03.21;15.03.2021;8X3;01.03.2021;;;
16536;Indigo Cosmetics;Hoity Toity Ooh Lala Paris Body Lotion (100 samples);08.03.21;15.03.2021;8X3;01.03.2021;;;
16543;Formulage;Waxit Ingrown Repair 30ml;11.03.21;12.03.2021;8X3;09.03.2021;;;
16546;Formulage;Waxit Triple Exfoliant 150ml;11.03.21;12.03.2021;8X3;09.03.2021;;;
16569;Aloe Ferox;Aloe Ferox Rejuvinating Essence 50ml;17.03.21;24.03.2021;8X3;15.03.2021;;;
16570;Aloe Ferox;Aloe Ferox Cleansing Cream 150ml;17.03.21;24.03.2021;8X3;15.03.2021;;;
16572;Aloe Ferox;Aloe Ferox Spotless Cre'me 50ml;17.03.21;24.03.2021;8X3;15.03.2021;;;
16573;Aloe Ferox;Aloe Ferox Heel Balm 75ml;17.03.21;24.03.2021;8X3;15.03.2021;;;
16571;Aloe Ferox;Aloe Ferox Eye Gel 15ml;23.03.21;23.03.2021;8X3;19.03.2021;;;
16583;ZA Natural Care;Pramie Face Wash 100ml;24.03.21;25.03.2021;8X3;23.04.2021;;;
16587;ZA Natural Care;Pramie Body Lotion 150ml;24.03.21;25.03.2021;8X3;23.04.2021;;;
16588;ZA Natural Care;Pramie Body Wash 150ml;24.03.21;25.03.2021;8X3;23.04.2021;;;
16584;ZA Natural Care;Pramie Hand Cream 50ml;24.03.21;25.03.2021;8X3;24.03.2021;;;
