Pre-Prod No.;Client;Description;Date Sent on Proof;Proof Approved (Digital);Size of Eyemark;Artwork Received;Revised Artwork After Trialling;comments;
10883;Sunray Cosm.;Anabelle Dorall Hand & Body Lotion 100ml;31.07.15;03.08.2015;8X3;;;;
10891;Green Cross;Green Cross Revitalizing Gel 75ml;31.07.15;03.08.2015;8X3;;;;
10892;Green Cross;Green Cross Rough Skin Remover;31.07.15;03.08.2015;8X3;;;;
10893;Green Cross;Green Cross Soothing Heel Balm 75ml;31.07.15;03.08.2015;8X3;;;;
10894;Green Cross;Green Cross Moisturising Lotion 75ml;31.07.15;03.08.2015;8X3;;;;
10618_1;Nature Fresh;Pure Smile Toothpaste 100ml;04.08.15;11.08.2015;8X3;;;;
10931;Saradox;Good Stuff  Be Natural H/Crm 75ml;12.08.15;13.08.2015;8X3;;;;
10933;Saradox;Rock N Rooibos H/Cream 75ml Gifting;12.08.15;13.08.2015;8X3;;;;
10879;Whet Personal Products;W/Base Personal Lube Plain Flav F/Seal;13.08.15;18.08.2015;8X3;;;;
10880;Whet Personal Products;W/Base Personal Lube Berry Flav F/Seal;13.08.15;18.08.2015;8X3;;;;
10912;Signature Cosmetics;5th Dimension 100ml;13.08.15;14.08.2015;8X3;;;;
10913;Signature Cosmetics;Lady in Red 100ml;13.08.15;14.08.2015;8X3;;;;
10914;Signature Cosmetics;Your Romantic  100ml;13.08.15;14.08.2015;8X3;;;;
10915;Signature Cosmetics;Escape 100ml;13.08.15;14.08.2015;8X3;;;;
10916;Signature Cosmetics;Angelic 100ml;13.08.15;14.08.2015;8X3;;;;
10917;Signature Cosmetics;OPM 100ml;13.08.15;14.08.2015;8X3;;;;
10918;Signature Cosmetics;Hypnotic Portion 100ml;13.08.15;14.08.2015;8X3;;;;
10888;Remancos;Remancos Germ Fighting H/Cream 75ml ;21.08.15;21.08.2015;8X3;;;;
10971;Pepper Tree Packaging;Cocoa Hand and Nail Cream 50ml;31.08.15;11.09.2015;8X3;;;;
10972;Pepper Tree Packaging;Cocoa Hand Sanitiser 50ml;31.08.15;11.09.2015;8X3;;;;
10853_1;Silverlabs;Silverlabs Chaffing Repair 75ml;01.09.15;08.09.2015;8X3;;;;
10997;Totally Wild;Aloe 24 100ml;03.09.15;03.09.2015;8X3;;;;
11000;Sunray Cosm.;Tiki Hand and Nail Cream 100ml;04.09.15;08.09.2015;8X3;;;;
10968;Bio Earth Man.;Pikoko Cellulite -Nil Jelly 150ml;08.09.15;14.09.2015;8x3;;;;
