UPDATE DR,,,,,,,,OWNERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDENTIFICATION DETAILS,,,,,,,,,,,Skye,122 owned moulds came over from Skye….,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OWNERSHIP,,,,,,,,,,DATES,,,,PRODUCTION DETAILS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MouldNumber,Mould Number (Inserts),Mould Number (Inserts 2),FAR,Asset QR code,Discontinuation Number,Location,skye catalogue stds,Mould Index,Mould Code,Mould Number on Mould,Drawing No.,2nd Drawing No.,3rd Drawing No.,Mould Description,2nd Mould Description,Cavities,Linked Mould,Material,Weight G,Packaging,Preferred Machine,Manuf. Process,Manf. Shape,Shape,Business Line,Start Year (A),Mould Source 1,Mould Source 2,Date Mould Ordered,Amort,Comp,FAR Historical Cost,Historical Mould Cost as per Other on File,Historical Cost Extrapolated,Years Until 'Now',Estimated 'Now' Cost,Mould Cost - actual,Mould Cost Current,Mould Type Code,DL Mould  cost - material,DL Mould cost - labour,DL Mould cost - total,Current Age (Years),Usefull Life (A),Value Categories,Say Current Replacment Value (A),Location+K:AK,Status (B),Owner 1,NO OF MOULDS,Mould Family (Parent WC #),Notes on Mould Family,Other Specific Mould Notes,Owner 2,Date of Mould Order or Acquisition from?,Cost of Mould @ time of mould order,Additional Costs for Mould Mods,Notes on Ownership,Ammort. % @ 11/05/22,Exclusivity,Notes on Exclusivity,Custom / Standard,Main / Only Customer,Start Date,Notes on Start Date,Last production Date,Date No Longer Active,Shots Capability,Longevity' - High / Medium / Low,Notes on 'Longevity',Mould Condition - Good / Average / Poor,Date of Assessment of Condition,Total Units Since 2015,Total Shots,Date of 1st shot,Year,Earliest Start Date,2023/06/07,Years From Earliest Date,Years for Shot Data,Shots per Year,Shots per Month,Estimated Lifetime Shots,Years Remaining,Estimated Useful Life,Year Now,2025,Cost escalation %,"5,0%",FAR Start Date,FAR Start > DB Start (Years),FAR Start Year,#N/A,FAR Value vs. DB Value,Mould Class,Historical Cost Extra,Residual Value,Year Start,Default Useful Life,Default End of Life,Default Years of Dep,Default Accum Dep,Default NBV,Year of Default NBV,Extend #1,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #1 NBV,Year of Extend #1 NBV,Extend #2,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #2 NBV,Year of Extend #2 NBV,Extend #3,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #3 NBV,Year of Extend #3 NBV,Extend #4,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #4 NBV,Year of Extend #4 NBV,Extend #5,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #5 NBV,Year of Extend #5 NBV,Extend #6,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #6 NBV,Year of Extend #6 NBV,Extend #7,New Useful Life,New End of Life,Years of Dep,Accum Dep,Extend #7 NBV,Year of Extend #7 NBV,Estimate NBV FY'24,Cost,Acc Dep,check:
MI-0417,,,,4191,,,,,,,1311,,,50mm Rose Tube Cap,,1,,PPH,"5,7",1 400,,INJ,INJ-TCAP,TCAP,H: IM Other,2008,Other,,,,,,,R141 796,"17,0",R325 000,,,IM CAPBRDW-4,R0,R0,R325 000,"17,6",,,,2100,Dormant,Customer,,,,,SH'ZEN,,,,,,SH'ZEN,,C,SH'ZEN,2008/10/15,,24/03/2022,,,,,,,84 900,84 900,2015/11/05,2015,2008/10/15,Risk of more shots,"14,7","7,6",11 183,932,163 856,"-14,7","0,0",,,,,,,,,,CustDor_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-0418,,,,4105,,,,,,,1312,,,Vanish Lid,,8,,PPH,"21,0",350,,INJ,INJ-LID,LID,G: IM Closure,2015,Other,,,,,,,R184 174,"10,0",R300 000,,,IM LID-4,R0,R0,R300 000,"10,7",,,,2100,Dormant,Customer,,,,,,,,,,,,,,,2015/09/01,,31/05/2019,,,,,,,3684020,"460502,5",2015/10/28,2015,2015/10/28,,"7,6","7,6",60 483,5 040,460 503,"-7,6","0,0",,,,,,,,,,CustDor_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-0419,,,,,,,,,,,1314,,,SCOOP,,6,,PP,"6,6",600,,INJ,INJ-SCOOP,SCOOP,H: IM Other,2018,Other,,,,,,,R177 670,"7,0",R250 000,,,IM CAPBR-4,R0,R0,R250 000,"7,5",,,,2100,Dormant,Customer,,,,,,,,,,,,,,,2018/11/20,,,,,,,,,20000,"3,333,333,333",2018/11/12,2018,2018/11/12,,"4,6","4,6",729,61,3 333,"-4,6","0,0",,,,,,,,,,CustDor_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
MI-0421,,,,,,,,,,,1313,,,OSH Cap,,4,,,,,,INJ,INJ-CAP,CAP,G: IM Closure,2015,Other,,,,,,,R368 348,"10,0",R600 000,,,IM FTCBS-4,R0,R0,R600 000,"10,8",,,,2100,Dormant,Customer,,,,,,,,,,,,,,,2015/08/07,,20/04/2016,,,,,,,0,0,,,2015/08/07,,"0,0","0,0",-,-,-,"0,0","0,0",,,,,,,,,,CustDor_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-0422,,,M1-00015,4081,,,,,,,1324,,,Bulalazonke Cap,,8,,PPH,"6,4",2 000,120T,INJ,INJ-CAP,CAP,G: IM Closure,2008,Other,GADTEK,2017,,,,,,,,,,,,,,"17,5","15,0",,,2100,Active,,,,,,,2017,,,DR DD 21/07/2017,,,,S,,2008/11/19,,,,,,,,,3 219 292,402 412,2015/10/14,2015,2008/11/19,Risk of more shots,"14,6","7,7",52 589,4 382,765 490,"-14,6","0,0",,,,,2009/05/01,"0,4",2009,R100 000,R100 000,FARAct_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-
MI-0423,,,,,,,,,,,938,,,250ml PJ - Aqueous Cream Jar (Afri-Mould),,4,,PPH,"19,0",288,,INJ,INJ-JAR,JAR,F: IM Jars,2015,Other,,2009,,,,,R306 957,"10,0",R500 000,,,IM JARSL-4 S,R0,R0,R500 000,"10,9","15,0",,,2100,Active,Customer,,,,,,2009,,,DR DD 17/02/2009,,,,,,2015/06/30,,,,,,,,,17291439,"4322859,75",2015/08/03,2015,2015/08/03,,"7,8","7,8",550 731,45 894,4 322 860,"-7,8","0,0",,,,,,,,,,CustAct_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-0423/A,,,,4160,,,,,,,2102,,,250ml EVE Jar IML,,4,,PPH,"19,8",288,120T,INJ,INJ-JAR,JAR,F: IM Jars,2015,Bowler,Bowler,2019,,,,,R306 957,"10,0",R500 000,,,IM JARSL-4 S,R0,R0,R500 000,"10,8","15,0",,,2100,Active,Bowler,,,,,BOWLER,2019,,,DR DD 01/04/2019,,,,S,,2015/08/04,,,,,,,,,17 291 439,4 322 860,2015/08/03,2015,2015/08/03,Risk of more shots,"7,8","7,8",550 731,45 894,4 322 860,"-7,8","0,0",,,,,,,,,,BowAct_B,R306 957,R2 500,2015,7,2022,5,-R217 469,R89 488,2020,5,10,2025,3,-R52 193,R37 295,2023,5,13,2028,2,-R13 918,R23 377,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R23 377,R306 957,-R283 580,
MI-0425,,,,4173,,,,,IPUFFH1330BA,,1330,,,22mm GSK Puffer Mould / 22mm PET Puffer,,8,,BLEND,"1,5",5 000,50T,INJ,INJ-PUFFER,PUFFER,H: IM Other,2009,Bowler,Bowler,2009,,,,,R148 428,"16,0",R324 000,,,IM PUFF-8,R0,R0,R324 000,"16,5","20,0",,,2100,Dormant,Bowler,,,,,BOWLER,2009,,"R116 400,00","DR DD 17/02/2009 - MOULD MOD. DD 24/02/2020 - CONVERSTION FR 4 TO 8 CAV DUE TO CAPACITY @ COST R116 400,00",,,,S,,2009/11/19,,,,,,,,,39 989 001,4 998 625,2015/08/03,2015,2009/11/19,Risk of more shots,"13,6","7,8",636 823,53 069,8 632 878,"-13,6","0,0",,,,,,,,,,BowDor_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-0426/A,,,,4040,,,,,,,1100/D - 2068 IML,,,350ml Aqueous Cream Jar (cav 5-8) / HD,,4,,PPH,"25,0",224,150T,INJ,INJ-JAR,JAR,F: IM Jars,2015,Other,AFRIMOULD,2004,,,,,R306 957,"10,0",R500 000,,,IM JARSL-4 S,R0,R0,R500 000,"10,8","15,0",,,2100,Active,Bowler,,,,,BOWLER,2004,,,ORIGINAL DR DD 13/07/2004 - UPDATED DR DD 01/09/2010,,,,S,,2015/08/14,,28/07/2022,,,,,,,16 781 660,4 195 415,2015/08/03,2015,2015/08/03,Risk of more shots,"7,8","7,8",534 494,44 541,4 195 415,"-7,8","0,0",,,,,,,,,,BowAct_O,R306 957,R2 500,2015,7,2022,5,-R217 469,R89 488,2020,5,10,2025,3,-R52 193,R37 295,2023,5,13,2028,2,-R13 918,R23 377,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R23 377,R306 957,-R283 580,
MI-0427,,,,,,,,,,,1345,,,Like Silk Umbrella Cap (Tissue Oil),,4,MI-0609/ MI-0613/A/ M1066N,PPH,"5,7",1 700,150T,INJ,INJ-CAP,CAP,G: IM Closure,2016,Bowler,Bowler,2009,,,,,R241 728,"9,0",R375 000,,,IM CAPSRDW-4,R0,R0,R375 000,"9,7","15,0",,,2100,Dormant,Bowler,4,,,,BOWLER,2009,,,DR DD 24/03/2009,,,,S,,2016/09/01,,22/01/2019,,,,,,,167000,41750,2016/08/23,2016,2016/08/23,,"6,8","6,8",6 147,512,41 750,"-6,8","0,0",,,,,,,,,,BowDor_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-0433,,,,4238,,,,,IBASED1364CA,,1364,,,52mm Singleton's Snuff Base,,4,,PPH,"4,3",1 000,,INJ,INJ-JAR,JAR,F: IM Jars,2012,Other,,2008,,,,,R265 161,"13,0",R500 000,,,IM JARSL-4 S,R0,R0,R500 000,"13,6",,,,2100,Dormant,Customer,,,,,LEONARD,2008,,"R25 950,00",DR DD 27/08/2008 - MOULD MOD DD 15/07/2015 - REPAIRED INJECTOR PINS,,LEONARD,,C,LEONARD,2012/10/24,,10/03/2016,,,,,,,165000,41250,2015/12/08,2015,2012/10/24,,"10,6","7,5",5 499,458,58 425,"-10,6","0,0",,,,,,,,,,CustDor_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-0435,,,,,,,,,,,1366,,,Edelprise / Rumney's / Kensington Snuff Lid,,4,,PPH,"3,1",3 000,,INJ,INJ-LID,LID,G: IM Closure,2015,Other,,2012,,,,,R214 870,"10,0",R350 000,,,IM LIDSL-4,R0,R0,R350 000,"10,7",,,,2100,Dormant,Customer,,,,,,2012,,,DR DD 14/11/2012,,,,,,2015/09/02,,18/03/2016,,,,,,,115000,28750,2015/08/18,2015,2015/08/18,,"7,8","7,8",3 682,307,28 750,"-7,8","0,0",,,,,,,,,,CustDor_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-0441,,,,,,,,,,,0168/D,,,350ml Aqueous Lid (Mould Shop) (cav 1A-2A) / PP,,2,,,,,90T,INJ,INJ-LID,LID,G: IM Closure,2008,Other,MOULDSHOP,2001,,,,,R78 533,"17,0",R180 000,,,IM LID-2,R0,R0,R180 000,"17,9","20,0",,,2100,Active,Bowler,,,,,BOWLER,2001,,,DR DD 20/06/2001,,,,S,,2008/06/30,,,,,,,,,-,-,,,1900/01/00,,"0,0","0,0",-,-,-,"0,0","0,0",,,,,,,,,,BowDor_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-0448,,,,,,,,,IJARSD1376BB,,1376,1488,,50ml Jar (SAN-KIWI Shoe Cream),,4,,STYRENE,"24,0",270,150T,INJ,INJ-JAR,JAR,F: IM Jars,2013,Other,GADTEK,2009,,,,,R278 419,"12,0",R500 000,,,IM JARSL-4 S,R0,R0,R500 000,"13,2","15,0",,,2100,Dormant,Bowler,,,,,BOWLER,2009,,"R20 000,00","DR DD 25/08/2009 - MOULD MOD DD 28/11/2019 - COST R20 000,00 - NEW SLIDES FOR JAR THREADS - BOWLER STANDARD",,,,S,,2013/03/12,,18/01/2021,,,,,,,1 143 880,285 970,2015/08/28,2015,2013/03/12,Risk of more shots,"10,2","7,8",36 753,3 063,376 494,"-10,2","0,0",,,,,,,,,,BowDor_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-0448/A,,,,4050,,,,,,,2100,,,50ml Jar ( Shoe Cream) Pet,,4,,PET,"19,5",270,100T,INJ,INJ-JAR,JAR,C: PET Bottle,2015,Other,GADTEK,2019,,,,,R306 957,"10,0",R500 000,,,IM JARSL-4 S,R0,R0,R500 000,"11,3","15,0",,,2100,Active,Bowler,,,,,BOWLER,2019,,,DR DD 05/03/2019,,,,S,,2015/02/03,,,,,,,,,680 440,170 110,2021/02/01,2021,2015/02/03,,"8,3","2,3",72 535,6 045,605 321,"-8,3","0,0",,,,,,,,,,BowAct_O,R306 957,R2 500,2015,7,2022,5,-R217 469,R89 488,2020,5,10,2025,3,-R52 193,R37 295,2023,5,13,2028,2,-R13 918,R23 377,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R23 377,R306 957,-R283 580,
MI-0449,,,M1-00019,4051,,,,,,,1377,,,55mm Meltonian Lid,,4,,PPH,"4,5",1 500,90T,INJ,INJ-LID,LID,G: IM Closure,2009,Other,GADTEK,2010,,,R100 000,,,"16,0",R218 287,,,IM LID-4,R0,R0,R300 000,"17,0","15,0",,,2100,Active,Bowler,,,,,BOWLER,2010,,,DR DD 15/01/2010,,,,S,,2009/05/01,,,,,,,,,349 030,87 258,2016/08/23,2016,2009/05/01,,"14,1","6,8",12 848,1 071,181 274,"-14,1","0,0",,,,,2009/05/01,"0,0",2009,R100 000,R0,FARAct_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-0450,,,M1-00024,4108,,,,,,,1378,,,Venus Bump On Flip Top Cap,,8,,PPH,"8,0",1 200,150T,INJ,INJ-CAP,CAP,G: IM Closure,2009,Other,GADTEK,2010,,,R80 000,,,"16,0",R174 630,,,IM FTCBS-8,R0,R0,R1 050 000,"17,0","15,0",,,2100,Dormant,Bowler,,,,,BOWLER,2010,,,DR DD 23/06/2010,,,,S,,2009/05/01,,12/04/2021,,,,,,,5 605 988,700 749,2015/08/03,2015,2009/05/01,Risk of more shots,"14,1","7,8",89 275,7 440,1 259 636,"-14,1","0,0",,,,,2009/05/01,"0,0",2009,R80 000,R0,FARDor_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-0451,,,M1-00016,4115,,,,,,,1379,,,Delta Flip top Cap,,8,,PP,"9,2",1 200,150T,INJ,INJ-CAP,CAP,G: IM Closure,2009,Other,SPEC TOOL & DIE,,,,R55 000,,,"16,0",R120 058,,,IM FTCBS-8,R0,R0,R1 050 000,"17,0","15,0",,,2100,Active,Bowler,,,,,BOWLER,,,,,,,,S,,2009/05/01,,18/05/2022,,,,,,,181 000,22 625,2015/11/27,2015,2009/05/01,Risk of more shots,"14,1","7,5",3 004,250,42 386,"-14,1","0,0",,,,,2009/05/01,"0,0",2009,R55 000,R0,FARAct_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-0454,,,M1-00025,,,,,,,,1382,,,28mm Pilfer Proof Water Cap,,8,,HDPE,"3,1",4 500,50T,INJ,INJ-CAP,CAP,G: IM Closure,2009,Other,MOULDSHOP,2007,,,R100 000,,,"16,0",R218 287,,,X,R0,R0,R0,"17,0","15,0",,,2100,Dormant,Bowler,,,,,BOWLER,2007,,,DR DD 15/11/2007,,,,S,,2009/05/01,,,,,,,,,230 000,28 750,2020/04/08,2020,2009/05/01,,"14,1","3,2",9 085,757,128 193,"-14,1","0,0",,,,,2009/05/01,"0,0",2009,R100 000,R0,FARDor_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-0461,,,M1-00023,,,,,,,,1389,,,3 Tier Hanger,,4,,PPH,"7,7",1 000,,INJ,INJ-HANGER,HANGER,H: IM Other,2009,Other,,,,,R10 000,,,"16,0",R21 829,,,X,R0,R0,R0,"17,0",,,,2100,Dormant,Customer,,,,,,,,,OBSOLETE MOULD AS PER DISCONTINUATION & SCRAPPING OF MOULD CERTIFICATE DD 20/08/2013,,,,,,2009/05/01,,,,,,,,,0,0,,,2009/05/01,,"0,0","0,0",-,-,-,"0,0","0,0",,,,,2009/05/01,"0,0",2009,R10 000,R0,FARCustDor_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-0462,,,,4210,,,,,,,1390,,,EQUISWEET BOX,,4,,,,,,,,,,2012,,,2012,,,,,,,,,,,,,,"14,3",,,,K-PARK,Dormant,,,,,,,2012,,,DR DD 26/01/2012,,,,,,2012/01/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-0463,,,,4211,,,,,,,1391,,,EQUISWEET LID,,4,,,,,,,,,,2012,,,2012,,,,,,,,,,,,,,"14,3",,,,K-PARK,Dormant,,,,,,,2012,,,DR DD 26/01/2012,,,,,,2012/01/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-0472,,,,,,,,,,,1400,,,450ml STD Razco Lid,,2,,PPH,"7,2",1 000,,INJ,INJ-LID,LID,G: IM Closure,2015,Other,,2007,,,,,R110 504,"10,0",R180 000,,,IM LID-2,R0,R0,R180 000,"10,6",,,,2100,Dormant,Customer,,,,,,2007,,,DR DD 15/11/2007,,,,,,2015/10/26,,07/06/2016,,,,,,,40000,20000,2015/10/26,2015,2015/10/26,,"7,6","7,6",2 625,219,20 000,"-7,6","0,0",,,,,,,,,,CustDor_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-0484,,,,4145,,,,,,,1429,,,1kg Sun Closure,,4,,HDPE,"12,3",800,120T,INJ,INJ-CAP,CAP,G: IM Closure,2015,Other,,2009,,,,,R199 522,"10,0",R325 000,,,IM CAPBRDW-4,R0,R0,R325 000,"10,6","15,0",,,2100,Active,Customer,,,,,UNILEVER,2009,,,DR DD 02/11/2009,,UNILEVER,,C,UNILEVER,2015/10/10,,,,,,,,,1 751 200,437 800,2015/10/02,2015,2015/10/02,Risk of more shots,"7,7","7,7",56 969,4 747,437 800,"-7,7","0,0",,,,,,,,,,CustAct_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-0499,,,,4049,,,,,,,1488,,,50ml Plush Base,,4,,STYRENE,"18,5",270,150T,INJ,INJ-JAR,JAR,F: IM Jars,2010,Bowler,Bowler,2010,,,,,R240 509,"15,0",R500 000,,,IM JARSL-4 S,R0,R0,R500 000,"16,0","17,0",,,2100,Active,Bowler,,,,,BOWLER,2010,,,DR DD 12/05/2010,,,,S,,2010/05/10,,,,,,,,,4 210 262,1 052 566,2015/08/24,2015,2010/05/10,Risk of more shots,"13,1","7,8",135 087,11 257,1 767 600,"-13,1","0,0",,,,,,,,,,BowAct_B,R240 509,R2 500,2010,7,2017,5,-R170 006,R70 502,2015,5,10,2020,3,-R40 801,R29 701,2018,5,13,2023,3,-R16 321,R13 380,2021,5,16,2026,3,-R6 528,R6 852,2024,5,19,2029,1,-R870,R5 982,2025,,,,,,,,,,,,,,,,,,,,,,R5 982,R240 509,-R234 527,
MI-0500,,,,4069,,,,,,,1491,,,2Lt Magic Cap,,4,,PPH,"8,9",900,100T,INJ,INJ-CAP,CAP,G: IM Closure,2010,Other,SPEC TOOL & DIE,2010,,,,,R156 331,"15,0",R325 000,,,IM CAPBRDW-4,R0,R0,R325 000,"16,0","17,0",,,2100,Active,Bowler,,,,,BOWLER,2010,,,DR DD 21/05/2010,,,,S,,2010/05/21,,,,,,,,,4 465 030,1 116 258,2015/11/04,2015,2010/05/21,Risk of more shots,"13,1","7,6",146 982,12 249,1 918 820,"-13,1","0,0",,,,,,,,,,BowAct_O,R156 331,R2 500,2010,7,2017,5,-R109 879,R46 452,2015,5,10,2020,3,-R26 371,R20 081,2018,5,13,2023,3,-R10 548,R9 532,2021,5,16,2026,3,-R4 219,R5 313,2024,5,19,2029,1,-R563,R4 750,2025,,,,,,,,,,,,,,,,,,,,,,R4 750,R156 331,-R151 580,
MI-0502,,,,,,,,,,,1365,,,Edelprise Base,,4,,PPH,"11,1",1 200,,INJ,INJ-BASE,BASE,H: IM Other,2015,Other,,2010,,,,,R184 174,"10,0",R300 000,,,IM JAR-4 S,R0,R0,R300 000,"10,5",,,,2100,Dormant,Customer,,,,,,2010,,,DR DD 03/08/2010,,,,,,2015/11/11,,16/03/2016,,,,,,,248400,62100,2015/08/03,2015,2015/08/03,,"7,8","7,8",7 912,659,62 100,"-7,8","0,0",,,,,,,,,,CustDor_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-0503,,,,,,,,,,,1486,,,200ml Wafer / Mama Africa Cap,,4,,PPH,"2,9",2 000,,INJ,INJ-CAP,CAP,G: IM Closure,2020,Other,,2010,,,,,R0,"5,0",R0,,,X,R0,R0,R0,"6,0",,,,Destroy,Destroy,Customer,,,,,JAJ,2010,,,DR DD 30/07/2010 - DESTROYED AS PER CERTIFICATE OF DESTRUCTION DD 28/09/2022,,JAJ,,C,JAJ,2020/04/28,,18/05/2020,,,,,,,446 000,111 500,2020/04/28,2020,2020/04/28,,"3,1","3,1",35 857,2 988,111 500,"-3,1","0,0",,,,,,,,,,CustDor_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-0504,,,,,,,,,,,1487,,,400ml Wafer / Mama Africa Cap,,4,,PPH,"5,0",3 000,,INJ,INJ-CAP,CAP,G: IM Closure,2010,Other,,2010,,,,,R0,"15,0",R0,,,X,R0,R0,R0,"16,3",,,,Destroy,Destroy,Customer,2,,,,JAJ,2010,,,DR DD 30/07/2010 - DESTROYED AS PER CERTIFICATE OF DESTRUCTION DD 28/09/2022,,JAJ,,C,JAJ,2010/02/03,,19/05/2020,,,,,,,140 000,35 000,2015/08/18,2015,2010/02/03,Risk of more shots,"13,3","7,8",4 482,374,59 832,"-13,3","0,0",,,,,,,,,,CustDor_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-0506/A,,,,4065,,,,,ILIDSD1967BA,,1967,,,250ml Square Aqueous Lid,,4,,PPH,"10,0",600,150T,INJ,INJ-LID,LID,G: IM Closure,2016,Bowler,Bowler,2011,,,,,R193 383,"9,0",R300 000,,,IM LID-4,R0,R0,R300 000,"9,9","15,0",,,2100,Active,Bowler,,,,,BOWLER,2011,,"R81 350,00","MOULD ORDER DD 18/02/2011 - MOULD MOD DD 01/02/2016 - ORIGINAL MAMA AFRICA 300ML JAR LID MOULD - MODIFY INTO SQUARE FINISH TO FIT 250ML J RANGE JAR - COST R81 350,00",,,,S,,2016/06/15,,,,,,,,,3 266 800,816 700,2016/06/02,2016,2016/06/02,,"7,0","7,0",116 398,9 700,816 700,"-7,0","0,0",,,,,,,,,,BowAct_B,R193 383,R2 500,2016,7,2023,5,-R136 345,R57 038,2021,5,10,2026,3,-R32 723,R24 315,2024,5,13,2029,1,-R4 363,R19 952,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R19 952,R193 383,-R173 431,
MI-0511,,,,4092,,,,,,,1526,,,PJ Aqueous 500ml Cream Jar / HD,,4,,PPH,"35,5",140,130T,INJ,INJ-JAR,JAR,F: IM Jars,2010,Other,,2010,,,,,R288 610,"15,0",R600 000,,,IM JARSL-4 L,R0,R0,R600 000,"15,7","17,0",,,2100,Active,Bowler,,,,,BOWLER,2010,,,DR DD 01/09/2010,,,,S,,2010/09/01,,,,,,,,,34 821 896,8 705 474,2015/08/03,2015,2010/09/01,Risk of more shots,"12,8","7,8",1 109 074,92 423,14 165 766,"-12,8","0,0",,,,,,,,,,BowAct_O,R288 610,R2 500,2010,7,2017,5,-R204 364,R84 246,2015,5,10,2020,3,-R49 047,R35 198,2018,5,13,2023,3,-R19 619,R15 579,2021,5,16,2026,3,-R7 848,R7 732,2024,5,19,2029,1,-R1 046,R6 685,2025,,,,,,,,,,,,,,,,,,,,,,R6 685,R288 610,-R281 925,
MI-0515,,,M2-00048,4104,,,,,,,1518,,,Packing Crate 2lt,,1,,PPC,"621,0",560,350T,INJ,INJ-CRATE,CRATE,H: IM Other,2010,Other,WE,,,,R651 439,,,"15,0",R1 354 295,,,IM CRATE,R0,R0,R0,"15,8","17,0",,,2100,Dormant,Bowler,,,,,BOWLER,,,,,,,,S,QB,2010/08/17,,11/02/2022,,,,,,,457 740,457 740,2015/08/03,2015,2010/08/17,Risk of more shots,"12,8","7,8",58 316,4 860,747 243,"-12,8","0,0",,,,,2011/09/15,"1,1",2011,R651 439,R0,FARDor_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI-0516,,,M1-00028,4078,,,,,,,1540,1541,,Laminate Tube Shoulder 10mm Orifice with 2 Diameter Options - 35 & 40 DIA.,,4,,HDPE,"2,00",3 000,50T,INJ,INJ-SHOULD,SHOULD,H: IM Other,2012,Other,TOP MOULD,2010,,,R230 609,,,"13,0",R434 848,,,X,R0,R0,R0,"14,3","15,0",,,2100,Active,Bowler,,,,,BOWLER,2010,,,DR DD 26/10/2010,,,,S,,2012/01/15,,,,,,,,,21 757 200,5 439 300,2015/08/11,2015,2012/01/15,Risk of more shots,"11,4","7,8",694 905,57 909,7 921 921,"-11,4","0,0",,,,,2012/01/15,"0,0",2012,R230 609,R0,FARDor_O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
