"Pre-Prod No.,Date,Weeks Taken (or parts thereof),Age Category,Project Age (Open and Closed),Open or closed,Completion date,Client,Project Description,Category,Raw Code,Works Order,Product Code,Sales Rep,Repeat Job,Machine,Material,Artwork required,Artwork Received,Size of Eyemark,Date Sent on Proof,Proof,Proof Approved (Conventional),Proof Approved (Digital),Digital trial sent,Sent on Trial,Trial approved,Revised Artwork After Trialling,""Product Material Colour (tube, jar etc.)"",Diameter,Length,Cap_Lid Colour,Cap_Lid Diameter,Cap_Lid Material,Cap_Lid Style,Tube Shoulder colour,Orifice,Other Cap_Lid Info,Comments,Dust Controlled Area,Extrusion requested,Extrusion received,Injection trial requested,Injection trial received,Blowmould trial requested,Blowmould trial received,Masterbatch requested,Masterbatch received,Month,Month Name,New Mould_ Client or Product,Unit Order No,Order Qty x1000,Ordered Plates,Plates Arrived,Status,Year,comments,Unit Order No_dig,Qty_Including Waste,Artwork Order,Due for SAESA,Order,Digital Trial,Trial approved_dig,Revised Artwork After Trialling_dig,Foil,Cap_Lid Style_dig,Digital Trial No,T1_Date,Retrial T2,Retrial T3,Retrial T4,Retrial T5,Trial Comments"
8503,2011-07-01,-5817.857142857143,,5421,Open,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,July,,,,,,No order,2011.0,,,,,,,,,,,,,,,,,,
21057,2026-03-06,6.0,,59,Closed,2026-04-14,Prime Products,Annique Rooiboss Resque Rooiboss Cream 50ml,Digital Laminate,,,C35LTPRI014F,Karen,,DIGITAL ,PBL,,,,,,,,,,,,White,35.0,90.0,Black,33,PP,F/T B/O,White,10.0,Fugi Sleeve,,,,,,,,,,,,,New,216134/0,5.1,,,Order (a/w),,,,,,,,,,,,,,,,,,,
21058,2026-03-09,,> 6 Months,56,Open,,Mosaic,Ginger Mary Hand & Nail 75ml  ( ITW 20888),Tube and Cap,,,C40TBMOS004F,Rob,,HK,COEX,,,,,,,,,,,,Cream7499c,40.0,105.0,Gold,38,PP,F/T B/O,Natural,10.0,Fugi Sleeve,,,,,,,,,,,,,New,216530/0,5.0,,,Order (a/w),,,,,,,,,,,,,,,,,,,
21059,2026-03-09,,> 6 Months,56,Open,,Bio-Kinetic,Bio-Kinetic Rejuvenate Treatment 150ml,Digital Laminate,,,,Karen,,DIGITAL ,PBL,,,,,,,,,,,,White,40.0,165.0,Turquoise  ,38,PP,F/T B/O,White,10.0,Fugi Sleeve,,,,,,,,,,,,,New,,,,,No order (a/w),,,,,,,,,,,,,,,,,,,
21060,2026-03-10,5.0,,55,Closed,2026-04-09,Kasselhoft Trading,Ruah Hand en Nael 75ml,Tube and Cap,,,C40TBKAS000F,Senate,,HK,COEX,,,,,,,,,,,,White,40.0,103.0,White,38,PP,F/T B/O,Natural,10.0,Fugi Sleeve,,,,,,,,,,,,,New,216239/0,5.0,,,Order (a/w),,,,,,,,,,,,,,,,,,,
21061,2026-03-11,,> 6 Months,54,Open,,Cape Kingdom,Equestrian Aid 100ml,Digital Laminate,,,C40LTBIO001F,Rob,,DIGITAL ,PBL,,,,,,,,,,,,White,40.0,120.0,White,38,PP,F/T B/O,White,10.0,Fugi Sleeve,,,,,,,,,,,,,New,216327/0,2.5,,,Order (a/w),,,,,,,,,,,,,,,,,,,
21062,2026-03-11,,> 6 Months,54,Open,,Swift Industrial,SCA Assembly Grease 100g -Labelled,Tube and Cap,,,,Senate,,LABEL,COEX,,,,,,,,,,,,White,40.0,170.0,White,40,PP,A,Natural,8.0,,,,,,,,,,,,,,New,,,,,No order (a/w),,,,,,,,,,,,,,,,,,,
21063,2026-03-11,,> 6 Months,54,Open,,Swift Industrial,SCA Joint Grease 100g - Labelled,Tube and Cap,,,,Senate,,LABEL,COEX,,,,,,,,,,,,White,40.0,170.0,White,40,PP,A,Natural,8.0,,,,,,,,,,,,,,New,,,,,No order (a/w),,,,,,,,,,,,,,,,,,,
21064,2026-03-11,,> 6 Months,54,Open,,Swift Industrial,SCA Silicone Gease100g - Labelled,Tube and Cap,,,,Senate,,LABEL,COEX,,,,,,,,,,,,White,40.0,170.0,White,40,PP,A,Natural,8.0,,,,,,,,,,,,,,New,,,,,No order (a/w),,,,,,,,,,,,,,,,,,,
21065,2026-03-11,,> 6 Months,54,Open,,Revlon SA,Revlon Flex Gel Extreme Control150ml (Run LDPE ),Tube and Cap,,,C50TBREV032F,Simon,,HK,LDPE,,,,,,,,,,,,White,50.0,130.0,Natural,48,PP,F/T B/O,Natural,10.0,,,,,,,,,,,,,,New,216330/0,0.04,,,Order (a/w),,,,,,,,,,,,,,,,,,,
21066,2026-03-11,,> 6 Months,54,Open,,SH'ZEN,Sh'zen Phyto Renewing Night Cream 35ml,Tube and Cap,,,C30TBSHZ053F,Wayne,,HK,COEX,,,,,,,,,,,,Prl White BMWHT010,30.0,95.0,Prl White BMWHT010,30,PP,Rose,Prl White,4.0,,,,,,,,,,,,,,New,216243/1,5.0,,,Order (a/w),,,,,,,,,,,,,,,,,,,
21067,2026-03-12,,> 6 Months,53,Open,,Xenia Pharmaceuticals,Sunscreen For Dogs and Cats SPF30 150ml,Digital Laminate,,,,Natalie,,DIGITAL ,PBL,,,,,,,,,,,,White,40.0,165.0,White,38,PP,F/T B/O,White,10.0,Fugi Sleeve,,,,,,,,,,,,,New,,,,,No order (a/w),,,,,,,,,,,,,,,,,,,
21068,2026-03-12,5.0,,53,Closed,2026-04-14,Shanker Brands,Divine Bodies Vitamin C +Tumeric Face and Body Cream 100ml,Digital Laminate,,,C40LTSHN009F,Wayne,,DIGITAL ,PBL,,,,,,,,,,,,White,40.0,120.0,Orange(BMORG053),38,PP,F/T B/O,White,10.0,Fugi Sleeve,,,,,,,,,,,,,New,216263/6,6.0,,,Order (a/w),,,,,,,,,,,,,,,,,,,
21069,2026-03-12,,> 6 Months,53,Open,,Xenia Pharmaceuticals,Sunscreen UVA & UVB Protection SPF30 150ml,Digital Laminate,,,,Natalie,,DIGITAL ,PBL,,,,,,,,,,,,White,40.0,165.0,White,38,PP,F/T B/O,White,10.0,Fugi Sleeve,,,,,,,,,,,,,New,,,,,No order (a/w),,,,,,,,,,,,,,,,,,,
21070,2026-03-13,5.0,,52,Closed,2026-04-13,Organic Manufacturing,Natural Nerve Comfort Cream 100ml,Digital Laminate,,,C40LTORG000F,Rob,,DIGITAL ,PBL,,,,,,,,,,,,White,40.0,120.0,White,38,PP,F/T B/O,White,10.0,Fugi Sleeve,,,,,,,,,,,,,New,216492/0,2.5,,,Order (a/w),,,,,,,,,,,,,,,,,,,
21071,2026-03-16,,> 6 Months,49,Open,,PD Pharma,Aloe-E-Mune 50g,Digital Laminate,,,C35LTZET026F,Wayne,,DIGITAL ,ABL White,,,,,,,,,,,,White,35.0,115.0,Green,35,PP,A,White,6.0,Foil Seal,,,,,,,,,,,,,Exist,216328/1,2.5,,,Order (a/w),,,,,,,,,,,,,,,,,,,
21072,2026-03-16,,> 6 Months,49,Open,,Revlon SA,Revlon Flex Gel Extreme Control150ml (Run  COEX),Tube and Cap,,,C50TBREV033F,Simon,,HK,COEX,,,,,,,,,,,,White,50.0,130.0,Natural,48,PP,F/T B/O,Natural,10.0,,,,,,,,,,,,,,New,216331/1,0.04,,,Order (a/w),,,,,,,,,,,,,,,,,,,
21073,2026-03-16,6.0,,49,Closed,2026-04-22,Idexis,Thrombo Eze Heparin Gel 25g,Digital Laminate,,,C25LTIDE005F,Karen,,DIGITAL ,ABL White,,,,,,,,,,,,White,25.0,100.0,Pink 2405c,24,PP,A,White,6.0,Foil Seal,,,,,,,,,,,,,New,216341/0,5.0,,,Order (a/w),,,,,,,,,,,,,,,,,,,
21074,2026-03-18,,> 6 Months,47,Open,,Chem Effects,20mm Smooth Screw cap,Cap,,,CCAPSSKY034F,Peter,,INJECTION,,,,,,,,,,,,,,,,Blue,,PP,,,,,,,,,,,,,,,,,New,216420/0,30.0,,,No order,,,,,,,,,,,,,,,,,,,
