Pre-Prod No.;Product Code;Works Order;Unit Order No;Raw Code;Sales Rep;Client;Description;Qty_Including Waste;Artwork Order;Due for SAESA;Diameter;Material;Length;Orifice;Order;Proof;Proof Approved (Digital);Digital Trial;Digital Trial No;Trial approved;Revised Artwork After Trialling;Foil;Cap_Lid Style;Status;Closed;Repeat Job;T1_Date;Retrial T2;Retrial T3;Retrial T4;Retrial T5;Trial Comments
15539;C35LTBIF001F;W00148596;159874/1;CLAM113BIF001W;Natalie;Pharmaforce;100g Go Pain Gel;3500;BPO08647 - -;x;35;ABL White;150;4;x;x;x;x21/2;1;43886;0;;A;;closed;New;2020/02/19;;;;;
15488;C35LTSMP000F;W00174460;172365/4;CLAM113SMP000W;Rob;Dipidax;Mr Bains Kids Polar Berry 50ml ;3600;2021-06-25/NED/003069792195 - -;x;35;PBL;110;10;x;x;x;x20/10;3;44121;44377;;F/T B/O;;x;New;2020/03/04;2020/10/05;2020/10/20;;;T2: Client adj colour T3: Client re-adj colouir
15489;C35LTSMP001F;W00174454;172366/3;CLAM113SMP001W;Rob;Dipidax;Mr Bains Toothpaste 75ml;3600;2021-06-25/NED/003069792195 - -;x;35;PBL;150;10;x;x;x;x7/9;3;44120;44377;;F/T B/O;Changed from ABL to PBL;x;New;2020/03/04;2020/10/05;2021/09/07;;;T2: Adj colour T3: Changed to PBL
15511;C35LTALO048F;W00148624;159774/0;CLAM113ALO048W;Warren;Aloe Ferox;Aloe Ferox Neck Cream 50ml;4600;POA10236 - -;x;35;PBL;90;4;x;x;x;x18/2;1;43880;0;;A;Received trial 25/2;closed;New;2020/02/18;;;;;
15518;C40LTYUN001F;W00148639;159898/0;CLAM129YUN001W;Rob;Yungskin;Foiled Exfoliator 100ml;9000;Carl 4/2 - -;x;40;PBL;120;10;x;x;x;x25/2;1;FALSE;0;;F/T B/O;;closed;New;2020/02/25;;;;;
15548;C40LTCOM000F;W00148635;159904/0;CLAM129COM000W;Natalie;Comafrica Marketing;Crez Hand & Body Cream Cocoa Butter 150ml;6800;00011755 00011755 (Barcode) -;x;40;PBL;165;10;x;x;x;x25/2;1;43888;0;;F/T B/O;;closed;New;2020/02/25;;;;;
15549;C40LTCOM001F;W00148630;159933/3;CLAM129COM001W;Natalie;Comafrica Marketing;Crez Hand & Body Cream Tissue Oil 150ml;11800;00011755 00011755 (Barcode) -;x;40;PBL;165;10;x;x;x;x25/2;1;43888;0;;F/T B/O;;closed;New;2020/02/25;;;;;
15299_2;C35LTROL001F (Add 1);W00148539;#NAME?;CLAM113ROL001W;Wayne;Rolfe Lab.;Lemongrass Hand and Nail 60ml;1800;repeat;x;35;ABL silver;110;4;x;x;x;Repeat;Repeat;Repeat;0;;A;;closed;x;;;;;;
15555;C35LTCAT047F;W00148658;160013/0;CLAM113CAT047W;Rob;Catwalk;Gifts From Nature Argan Hand Cream 100ml;3700;- - -;x;35;ABL Silver;150;4;x;x;x;x18/3;2;43916;43914;;A;Received trial approval 30/3;closed;New;2020/02/25;2020/03/18;;;;
15556;C35LTCAT046F;W00148654;160014/0;CLAM113CAT046W;Rob;Catwalk;Gifts From Nature Coconut & Vanilla Hand Cream100ml;3700;- - -;x;35;ABL Silver;150;4;x;x;x;x18/3;3;FALSE;0;;A;;closed;New;2020/02/25;2020/03/09;2020/03/18;;;T2: Change background colour and dots
14703_1;C35LTROL000F (Add);W00148592;#NAME?;CLAM113ROL000W;Karen;Rolfe Lab.;Puer Camphor Hand Cream Herbal 100ml;6000;POR26868  ;x;35;PBL;150;10;x;x;x;Repeat;Repeat;Repeat;0;;F/T B/O;;closed;x;;;;;;
15572;Cancelled;Cancelled;Cancelled;Cancelled;Rob;Heuningsoet;Summer Harvest Raw Honey 30ml;3700;- - -;#NAME?;25;PBL;100;4;x;x;x;Cancelled;Cancelled;Cancelled;0;;A;;#NAME?;New;;;;;;
